"Date","Price","Open","High","Low","Vol.","Change %"
"28-08-2025","2,275.20","2,271.90","2,327.90","2,255.00","907.87K","0.14%"
"26-08-2025","2,272.00","2,304.00","2,309.30","2,249.40","1.07M","-1.34%"
"25-08-2025","2,302.90","2,335.70","2,348.40","2,300.00","542.46K","-0.95%"
"22-08-2025","2,324.90","2,369.90","2,376.30","2,321.00","584.21K","-2.20%"
"21-08-2025","2,377.20","2,387.10","2,397.00","2,371.40","441.87K","-0.41%"
"20-08-2025","2,387.10","2,380.00","2,406.00","2,372.10","780.03K","-0.05%"
"19-08-2025","2,388.40","2,339.90","2,395.60","2,314.10","1.07M","2.35%"
"18-08-2025","2,333.60","2,309.60","2,360.00","2,300.00","988.63K","2.28%"
"14-08-2025","2,281.60","2,288.00","2,304.00","2,267.70","998.11K","0.07%"
"13-08-2025","2,280.10","2,299.00","2,314.90","2,245.40","833.68K","-0.35%"
"12-08-2025","2,288.20","2,280.10","2,314.70","2,267.00","1.08M","0.21%"
"11-08-2025","2,283.40","2,196.00","2,302.00","2,183.00","2.38M","4.83%"
"08-08-2025","2,178.10","2,247.00","2,260.90","2,164.80","2.55M","-3.19%"
"07-08-2025","2,249.80","2,290.00","2,295.00","2,202.80","1.53M","-2.20%"
"06-08-2025","2,300.30","2,333.90","2,347.90","2,296.00","631.58K","-1.20%"
"05-08-2025","2,328.20","2,370.00","2,370.00","2,316.00","576.74K","-1.50%"
"04-08-2025","2,363.60","2,360.00","2,374.70","2,338.20","576.43K","0.54%"
"01-08-2025","2,350.90","2,425.00","2,444.90","2,333.00","976.34K","-3.28%"
"31-07-2025","2,430.70","2,509.90","2,520.00","2,422.60","1.46M","-4.03%"
"30-07-2025","2,532.90","2,547.90","2,552.60","2,525.00","262.06K","-0.59%"
"29-07-2025","2,547.90","2,529.00","2,557.40","2,507.50","424.78K","1.01%"
"28-07-2025","2,522.30","2,549.00","2,585.00","2,512.60","428.41K","-1.09%"
"25-07-2025","2,550.10","2,605.00","2,617.00","2,544.10","424.61K","-2.24%"
