"Date","Price","Open","High","Low","Vol.","Change %"
"18-08-2025","1,565.20","1,566.20","1,572.80","1,557.50","1.78M","0.08%"
"14-08-2025","1,564.00","1,562.50","1,574.80","1,552.00","2.54M","0.19%"
"13-08-2025","1,561.00","1,521.60","1,567.80","1,520.40","1.86M","2.59%"
"12-08-2025","1,521.60","1,504.00","1,524.90","1,501.10","910.35K","1.12%"
"11-08-2025","1,504.80","1,488.00","1,514.00","1,480.20","898.16K","1.28%"
"08-08-2025","1,485.80","1,483.00","1,493.80","1,478.30","920.27K","-0.35%"
"07-08-2025","1,491.00","1,476.10","1,499.80","1,464.10","1.88M","0.29%"
"06-08-2025","1,486.70","1,498.80","1,498.80","1,475.00","1.16M","-0.87%"
"05-08-2025","1,499.80","1,513.50","1,517.30","1,491.10","1.16M","-1.01%"
"04-08-2025","1,515.10","1,510.00","1,519.30","1,505.00","549.49K","0.82%"
"01-08-2025","1,502.80","1,544.00","1,549.70","1,494.00","2.11M","-3.33%"
"31-07-2025","1,554.60","1,540.00","1,564.70","1,536.60","2.46M","-0.31%"
"30-07-2025","1,559.40","1,574.30","1,579.90","1,551.20","1.39M","-0.93%"
"29-07-2025","1,574.00","1,563.40","1,579.40","1,559.60","1.30M","0.13%"
"28-07-2025","1,572.00","1,541.20","1,577.00","1,520.50","3.84M","2.58%"
"25-07-2025","1,532.50","1,485.00","1,553.70","1,469.00","5.23M","3.00%"
"24-07-2025","1,487.90","1,470.50","1,490.00","1,470.30","1.39M","0.98%"
"23-07-2025","1,473.50","1,465.30","1,476.50","1,462.40","1.27M","0.62%"
"22-07-2025","1,464.40","1,475.00","1,479.40","1,454.50","1.91M","-0.64%"
"21-07-2025","1,473.90","1,481.10","1,482.50","1,468.50","1.20M","-0.57%"
"18-07-2025","1,482.30","1,481.10","1,484.80","1,470.00","1.00M","-0.01%"
"17-07-2025","1,482.40","1,475.00","1,489.00","1,472.00","1.35M","0.45%"
"16-07-2025","1,475.80","1,485.00","1,485.00","1,468.20","1.57M","-1.01%"
"15-07-2025","1,490.90","1,483.80","1,492.40","1,469.40","1.20M","0.46%"
"14-07-2025","1,484.00","1,488.90","1,492.50","1,476.00","1.55M","-0.07%"
"11-07-2025","1,485.00","1,480.00","1,490.50","1,470.00","920.65K","0.49%"
"10-07-2025","1,477.80","1,489.00","1,490.90","1,463.20","2.18M","-0.93%"
"09-07-2025","1,491.70","1,486.00","1,501.70","1,486.00","1.36M","0.23%"
"08-07-2025","1,488.30","1,505.50","1,510.50","1,477.10","2.20M","-1.47%"
"07-07-2025","1,510.50","1,516.00","1,519.20","1,506.50","1.06M","-0.19%"
"04-07-2025","1,513.30","1,508.40","1,521.00","1,503.90","1.12M","0.30%"
"03-07-2025","1,508.70","1,504.00","1,513.20","1,498.80","869.96K","0.74%"
"02-07-2025","1,497.60","1,515.70","1,525.00","1,493.30","1.27M","-1.19%"
"01-07-2025","1,515.70","1,505.90","1,517.70","1,496.20","1.11M","0.65%"
"30-06-2025","1,505.90","1,509.40","1,514.70","1,500.20","1.05M","0.23%"
