"Date","Price","Open","High","Low","Vol.","Change %"
"24-02-2025","3,350.40","3,350.00","3,357.95","3,294.05","1.03M","-0.54%"
"21-02-2025","3,368.50","3,408.30","3,475.60","3,355.05","1.46M","-1.17%"
"20-02-2025","3,408.55","3,355.00","3,424.00","3,320.50","1.49M","1.33%"
"19-02-2025","3,363.75","3,303.00","3,431.90","3,275.15","2.69M","0.57%"
"18-02-2025","3,344.60","3,475.70","3,499.90","3,303.00","2.31M","-3.77%"
"17-02-2025","3,475.70","3,489.00","3,549.95","3,395.00","1.61M","-1.08%"
"14-02-2025","3,513.70","3,700.00","3,717.90","3,480.90","2.36M","-4.01%"
"13-02-2025","3,660.30","3,615.00","3,731.50","3,611.05","2.22M","1.84%"
"12-02-2025","3,594.15","3,639.05","3,658.55","3,470.05","3.10M","-1.52%"
"11-02-2025","3,649.45","3,794.00","3,794.85","3,617.15","1.55M","-3.62%"
"10-02-2025","3,786.65","3,818.00","3,849.00","3,753.60","1.34M","-0.84%"
"07-02-2025","3,818.85","3,795.00","3,834.30","3,748.60","1.39M","1.24%"
"06-02-2025","3,771.90","3,830.00","3,846.00","3,748.05","1.25M","-1.19%"
"05-02-2025","3,817.30","3,765.00","3,853.80","3,750.00","1.62M","2.35%"
"04-02-2025","3,729.75","3,600.00","3,738.90","3,580.00","2.47M","5.70%"
"03-02-2025","3,528.55","3,720.00","3,730.00","3,513.00","3.69M","-6.53%"
"01-02-2025","3,774.95","3,972.00","4,052.85","3,681.65","4.57M","-4.11%"
"31-01-2025","3,936.80","3,804.10","3,969.00","3,784.80","1.98M","4.17%"
"30-01-2025","3,779.15","3,725.00","3,798.80","3,707.05","1.51M","2.13%"
"29-01-2025","3,700.50","3,619.00","3,710.00","3,577.55","1.58M","2.82%"
"28-01-2025","3,599.15","3,675.85","3,696.55","3,485.00","3.53M","-1.95%"
"27-01-2025","3,670.65","3,817.05","3,817.05","3,656.00","2.19M","-4.65%"
"24-01-2025","3,849.80","3,940.00","3,974.05","3,836.25","1.15M","-1.85%"
"23-01-2025","3,922.55","3,903.45","3,970.00","3,875.05","1.65M","0.49%"
"22-01-2025","3,903.45","4,078.00","4,078.00","3,820.00","2.51M","-3.64%"
"21-01-2025","4,050.80","4,210.00","4,233.35","4,037.05","2.32M","-3.26%"
"20-01-2025","4,187.50","4,133.50","4,242.00","4,105.00","2.06M","1.72%"
"17-01-2025","4,116.60","3,934.00","4,142.00","3,882.20","2.91M","5.05%"
"16-01-2025","3,918.75","3,877.00","3,944.60","3,860.00","1.08M","2.51%"
"15-01-2025","3,822.80","3,853.95","3,874.00","3,801.55","1.06M","-0.14%"
"14-01-2025","3,828.35","3,805.00","3,873.95","3,780.00","1.80M","1.06%"
"13-01-2025","3,788.25","3,900.00","3,985.25","3,772.35","1.96M","-5.31%"
